id,date,title,excerpt,content_preview,category,cat_id,image,slug
1194,2016-03-16,"Understanding Urology: Your Health, Our Priority",,"Urology is a vital medical specialty that focuses on the health of the urinary tract and male reproductive system. At Cambodia Urology Center , we are dedicated to providing expert care for conditions such as kidney stones, urinary tract infections, prostate health, and male infertility. Our goal is",Blog,1,wp-content/uploads/2025/03/Alliance-Urology_Common-Urology-Procedures.jpeg,understanding-urology-your-health-our-priority
1197,2016-03-16,Common Urological Problems & Their Treatments,,Urology deals with a wide range of conditions affecting the urinary tract and male reproductive system. Early detection and treatment can prevent complications and improve quality of life. Here are some common urological issues and how they are treated: 1. Urinary Tract Infections (UTIs) 💡 Symptoms:,Blog,1,wp-content/uploads/2025/03/26696.jpg,common-urological-problems-their-treatments
1201,2016-03-16,How Stress Affects Your Urinary System,,"Stress is a common part of life, but did you know it can also affect your urinary health? Prolonged stress can lead to urinary issues , disrupting your daily routine and overall well-being. 1. Increased Urinary Frequency 💡 Why? Stress triggers the release of cortisol and adrenaline, which can overst",Blog,1,wp-content/uploads/2025/03/2149152535.jpg,how-stress-affects-your-urinary-system
1365,2016-04-06,"Early Participation at AURC, Singapore",,Engaged with peers on evolving practices in urological care.,Blog,1,wp-content/uploads/2025/04/difference-between-uro-oncologist-and-urologist.jpg,early-participation-at-aurc-singapore
1369,2017-04-06,"Spoke at AURC, Hong Kong 2017",,Presentation focused on “How to Prevent Stone Recurrence.”,Blog,1,wp-content/uploads/2025/04/difference-between-uro-oncologist-and-urologist.jpg,spoke-at-aurc-hong-kong-2017
1371,2018-02-06,Attended USANZ Conference in Melbourne February,,Joined global experts to discuss innovations in urology and patient care.,Blog,1,wp-content/uploads/2025/04/uro-ja23-trainees_3.jpg,attended-usanz-conference-in-melbourne-february
1374,2018-04-06,"Presented at AURC in Kyoto, Japan April",,Delivered a presentation on “The Role of Retroperitoneal Lymph Node Dissection for Renal Carcinoma.”,Blog,1,wp-content/uploads/2025/04/1000x667xKinkakuji-Temple-22-The-Golden-Pavilion22-in-Kyoto-Japan.jpg.pagespeed.ic_.vlskNTnyNh.webp,presented-at-aurc-in-kyoto-japan-april
1377,2019-11-06,Speaker at the Philippine Urological Association Annual Conference,,"November 2019, Shared insights on surgical approaches at the annual meeting in Manila.",Blog,1,wp-content/uploads/2025/04/Depositphotos_33741117_ds-scaled-1920x1275-1.jpg,speaker-at-the-philippine-urological-association-annual-conference-november-2019
1381,2022-10-06,Water Vapor Therapy (Rezum) Training in Bangkok,,"October 2022, Dr. Reaksmey trained at Ramathibodi Hospital in the latest minimally invasive therapy for BPH (Benign Prostatic Hyperplasia).",Blog,1,wp-content/uploads/2025/04/main_building_ramathibod_hospital_bangkok.webp,water-vapor-therapy-rezum-training-in-bangkok
1383,2024-01-06,Training in Uro-Oncology at Singapore General Hospital,,"January 2024, Completed a preceptorship focused on cutting-edge uro-oncology techniques and cancer treatment protocols.",Blog,1,wp-content/uploads/2025/04/Singapore_web-post.jpg,training-in-uro-oncology-at-singapore-general-hospital
1386,2024-07-06,Dr. Reaksmey Attended EMS+ Master Class in Endourology,,"July 2024, Participated in advanced training on Mini PCNL, RIRS, URS, and more at Salayang Hospital, Kuala Lumpur, Malaysia.",Blog,1,wp-content/uploads/2025/04/e4ae9c3f-selayang-hospital-fb-pic-260524.webp,dr-reaksmey-attended-ems-master-class-in-endourology
1620,2025-07-07,Transurethral Resection of the Prostate,Transurethral Resection of the Prostate (TURP): A Detailed Overview Transurethral resection of the prostate (TURP) is a well-established surgical procedure performed to alleviate urinary symptoms caus,"Transurethral Resection of the Prostate (TURP): A Detailed Overview Transurethral resection of the prostate (TURP) is a well-established surgical procedure performed to alleviate urinary symptoms caused by an enlarged prostate, a condition known as benign prostatic hyperplasia (BPH). It is considere",Prostate clinic,52,wp-content/uploads/2025/07/premium_photo-1702598632255-837c91506472.jpeg,transurethral-resection-of-the-prostate
